País,Região,Área do Governo Emissor,Título,Tipo,Data,OSS Específico?,Custo,Soberania,Apoio à Indústria Nacional,Modernização,Transparência,Segurança,Ação,Termo,Status,Comentários,Fonte
Argentina,América do Sul,Legislativo,2607-D-2007,Apoio,2007,Sim,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Aquisição - consultivo,Software Livre / Código Aberto,Falhou,Advises to replace operating systems in the Chamber of Deputies for OSS.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2607-D-2007&tipo=DECLARACION
Argentina,América do Sul,Legislativo,Projeto de Lei 5613-D-2000: Regime For the Use of Intellectual Property Rights-Free Software by the National State,Projeto de Lei,2001,Sim,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,"Article 2 of the Projeto de Lei known as the Projeto de Lei of Free Software V5, stated: The Executivo Power, the Legislativo Power, decentralized organizations and companies where the National State is a majority stockholder, will use for their systems and IT equipment only free programs (software). After being reviewed by several committees, the bill expired in March 2002.",https://web.archive.org/web/20130525102452/http://proposicion.org.ar/proyecto/leyes/5613-D-00/
Argentina,América do Sul,Legislativo,0904-D-2002: Projeto de Lei of Free Software V5,Projeto de Lei,2002,Sim,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,"The Projeto de Lei of Free Software V5, mandating OSS in all federal government agencies and companies in which the state is the majority stockholder, was reintroduced as Projeto de Lei 904-D-02 in March 2002, the same month that the previous bill (5613-D-00) expired.  In March 2004, it expired before passage. Replicated by 1280-D-04.",https://web.archive.org/web/20130525085055/http://www.proposicion.org.ar/proyecto/leyes/904-D-02/
Argentina,América do Sul,Legislativo,Projeto de Lei 1280-D-2004,Projeto de Lei,2004,Sim,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,"After Projeto de Lei 904-D-02 expired in March, Projeto de Lei 1280-D-04 was introduced in June 2004.  It was the third attempt to pass the Projeto de Lei of Free Software V5, but it also expired before passage.",https://web.archive.org/web/20130620085821/http://www.proposicion.org.ar/proyecto/leyes/1280-D-04/
Argentina,América do Sul,Legislativo,6717-D-2006: Implementation of Free Software by the National Government,Projeto de Lei,2006,Sim,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,"All branches of government, the independent and decentralized organisms, and companies in which the Federal Government holds a majority stakeholder would prioritize free software.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6717-D-2006&tipo=LEY
Argentina,América do Sul,Legislativo,7228-D-2006: Software Licensing Policy for the National Government,Projeto de Lei,2006,Sim,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,"Projeto de Lei would make the use of OSS mandatory throughout all national government branches and offices. Projeto de Lei is based on 0904-D-02, 204-D-00 and 1280-D-04.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=7228-D-2006&tipo=LEY
Argentina,América do Sul,Legislativo,0490-D-2008: Software Licensing Policy Regime for the National Government,Projeto de Lei,2008,Sim,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Projeto de Lei replicates 7228-D-2006. It would make the use of OSS mandatory throughout all national government branches and offices.,http://www.anuarioandino.com/Anuarios/Anuario07/art05/ANUARIO%20ANDINO%20ART05.pdf
Argentina,América do Sul,Legislativo,0603-D-2008: Implementation of Free Software by the National Government,Projeto de Lei,2008,Sim,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Replicates 6717-D-06. Public Administration would prioritize OSS.,http://www.anuarioandino.com/Anuarios/Anuario07/art05/ANUARIO%20ANDINO%20ART05.pdf
Argentina,América do Sul,Legislativo,1149-D-2010: Software Licensing Policy Regime for the National Government,Projeto de Lei,2010,Sim,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Replicates 0490-D-08. It would make the use of OSS mandatory throughout all national government branches and offices.,https://www.hcdn.gov.ar/proyectos/index.html
Argentina,América do Sul,Legislativo,7552-D-2010: Regime for the Incorporation and Development of Software in the National Public Sector,Projeto de Lei,2010,Sim,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Aquisição - obrigatório,Software Livre / Código Aberto,Falhou,Projeto de Lei would make the use of OSS preferential for all national public sector.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=7552-D-2010&tipo=LEY
